'NitricOxide','NitrogenDioxide','OxidesofNitrogen','Ozone','WindSpeed','ResultantWindSpeed','ResultantWindDirection','MaximumWindGust','Std.Dev.WindDirection','OutdoorTemperature','DewPointTemperature','RelativeHumidity','SolarRadiation','PM2.5'
163,33.9,196.8,2,2.7,1,119,6.4,65,58.7,28.3,31.8,0,55.7
170.5,33.9,204.2,2,4.6,4.1,115,8.9,26,55.4,26.9,33.2,0,74.3
87.5,27.9,115.5,1,2.6,2.2,82,7,33,52.9,26.2,35.5,0,76.8
151.8,36.8,189.9,2,4.7,4.5,137,7.6,14,51.7,26.6,37.6,0.411,43.5
75.5,38.1,115,7,4.3,4.1,143,8.7,20,57.4,26.9,31.1,0.615,53.3
0.5,4,5,46,32,31.6,278,53,9,64,25.7,23.3,1.001,57.6
0.2,3.9,4.8,48,30.3,29.8,273,52.4,10,65.4,22.9,19.8,1.187,47.9
0.2,3.8,4.5,50,32.2,31.6,278,51.5,11,66.9,19.2,16.1,1.313,36.5
1.4,4.4,5.8,50,23,22.3,251,41,14,76.5,18.5,11.2,1.041,48.3
1.2,3.5,4.8,48,25.2,24.5,258,45.9,14,78.2,21,11.8,1.227,65.8
1.1,3.7,4.9,46,26,25.3,265,44.4,13,79.6,23,12.2,1.29,99.3
1.5,5,6.6,46,21.7,20.9,258,41.6,15,80.9,23.5,12,1.273,164.1
1.5,3.9,5.4,41,27.6,26.8,266,46.4,14,82.1,24.7,12.1,1.194,79.5
2.8,6,8.8,40,23,22.3,261,40.3,14,82.6,24.9,12,1.023,39.9
2.5,5.7,8.1,41,22.3,21.7,257,42.6,14,82.9,24.6,11.8,0.765,39.8
2.1,5.9,7.9,41,22.6,21.7,259,40.2,16,82.9,25.4,12.2,0.448,44.4
1.8,5.9,7.5,40,23.3,22.6,268,41.7,14,81.7,27.3,13.6,0.18,52.4
0.9,7.2,7.8,46,20.1,19.8,283,34,10,78.7,32,18.2,0.033,65
1,5.9,6.4,43,21.3,21,282,39.1,10,75.9,33.2,21,0,67.3
0.4,3.7,3.9,42,21.8,21.5,285,37.9,10,73.7,34.7,24,0,70.5
-0.1,2.1,2.1,40,16.7,16.3,292,31.2,13,72.4,35.1,25.6,0,42.4
6.2,22,29,23,7.5,7.3,253,14,14,65.9,22.8,19.3,0.181,43.4
5.8,17,23.6,28,8.2,7.9,260,14.7,15,68.4,22.9,17.7,0.491,51.4
2.2,7.8,10.5,38,12,11.6,260,22,16,71.2,26.3,18.4,0.785,56.8
1.4,4.7,6.1,44,14.8,14.3,269,25.7,16,74.3,28.7,18.4,1.037,43.6
1.7,4.7,6.5,42,22.1,21.4,269,36.8,14,83.3,30.4,14.8,1.271,62.5
2,6.2,8.4,41,22.1,21.5,264,39.3,13,84.5,30.6,14.3,1.036,62.7
2.8,7.1,10.1,39,19,18.3,244,36,16,85.7,31.8,14.5,0.826,52.2
3.4,3.8,6.7,38,25.9,25.2,260,48,13,75.7,22.1,13.4,0.461,62
2.7,3,5.2,37,24.2,23.6,264,41,12,73.8,21.7,14.1,0.208,45.8
0.8,4.5,5.1,48,17,14,171,47.4,34,75.9,48.2,39.3,0,144.5
1.4,8.3,9.4,43,11.1,9.8,207,22.9,28,69.6,51.4,52.5,0,55.6
1.2,12,13,36,4.7,2.7,166,10.6,54,68.5,54.2,60.4,0,40.3
9.3,69,78.3,10,4.1,3.9,169,7.7,17,86.7,38.6,18.3,0,35.5
14.7,69.7,84.3,3,2.1,1.6,152,4.2,40,83.8,40.1,21.3,0,38.7
6,60.9,66.7,3,2.9,2.1,86,4.7,43,81.2,41.9,25.1,0,38.9
320.4,38.6,362.2,4,1.7,1.4,192,3.9,32,40.5,26.1,56,0,49.7
272.1,38.6,313.2,2,2.7,1.9,144,4.9,45,38.4,25.4,59.2,0,38.9
2,7.7,11.1,30,9.8,9.3,269,16.9,18,45.5,17.5,32.1,0.951,38.3
168.4,39.7,208.1,2,1.9,1.1,259,3.6,51,50.3,30.3,45.9,0,42.3
193.1,36.8,230.2,2,2.2,2,152,4.4,24,47.3,31.5,54,0,55.2
159.1,34.3,193.6,2,2,1.8,151,4.9,28,45.4,30.9,56.8,0,40.5
317.9,39.2,360.3,3,2.7,2.4,157,4.3,25,37.7,25,59.7,0,69.9
3.1,10.7,15.1,24,2.4,1.3,329,5.2,56,46.9,22.7,38.4,0.883,36.1
207,34.1,243.1,3,1.7,1.5,142,3.5,31,48.5,26.2,41.6,0,37.3
131.2,32.2,164.9,2,2.2,2.1,135,4.7,17,46.7,24.3,41.2,0,35.4
87.3,30.9,121.6,4,2,0.8,349,4.6,63,40.1,14.7,35,0.63,41.7
66.1,39.9,109.2,8,1.9,0.4,103,4.8,73,44.7,14.2,28.8,0.827,42.7
1,1.3,3,38,18,17.2,205,33.5,17,66.3,18.9,16.3,0.798,59
1.2,2.2,4.2,39,24.1,23.2,215,45.1,15,66.8,14.4,13,0.511,135.7
1,3.9,5.6,35,26.3,21.9,262,47.5,33,57.6,26.1,33.2,0.15,154.8
0.5,3.7,4.6,34,27.7,27.2,283,44.1,11,47.2,31.6,54.5,0.036,51.7
50.9,27,78.3,3,4,3.6,119,7.5,25,47.4,17.5,29.9,0.218,35.6
68.5,31.4,100.3,30,2.9,2.6,155,5.3,26,52.9,17.8,24.9,0.419,36.7
1.1,2,2.6,41,21.9,20.5,247,56.1,20,77.7,15.6,9.6,1.11,41.3
0.7,1.9,2.3,43,26.6,26,277,44.9,12,76.5,18.3,11.1,1.149,112.2
2,3.6,5,53,31.1,30.7,286,48.6,9,70.7,-0.4,5.8,0.189,75.2
2.7,2.3,3.4,55,29.1,28.7,292,47.5,9,66.6,2.5,7.7,0.02,60.1
3.1,2.1,3.4,53,25.9,25.6,292,46.1,9,63.1,3,8.9,0,55.2
2.9,0.4,1.6,54,27.2,26.7,297,50.2,11,60.9,3,9.7,0,55.4
2.3,-1.1,-0.5,56,31.5,30.8,306,55.2,12,57.6,5.7,12.2,0,41.9
2.1,4.5,5.2,34,12.7,12.1,29,23.1,18,62.2,49.6,63.4,0.042,98.7
2.5,4.8,5.7,31,9.9,9.2,18,23.9,23,61.2,50.1,67.1,0,146.3
2.3,4.8,5.6,31,17,16,2,26,19,61,49,64.8,0,57
1.2,4.3,5.2,46,23.4,22.9,275,37.8,11,77.1,16.8,10.3,0.544,36.1
2,2.6,3.7,44,20.1,19.1,258,38.8,18,75.3,18.5,11.6,1.31,36.8
0.4,2.5,2.8,45,19,18.3,255,36.1,16,78.9,21.7,11.9,1.519,49.1
0.9,3.3,4.2,45,19.1,18.1,261,36.9,19,80.8,22.5,11.5,1.504,59.9
0.6,3.7,4.3,46,20.1,19.4,260,39.9,15,81.8,22.6,11.2,1.431,60
0.8,4.9,5.7,46,22.3,21.7,267,41.7,13,82.5,23.6,11.4,1.23,46.6
1.3,5.9,7.3,45,18.5,18,264,33.4,14,83,24.1,11.5,0.955,41.2
1.3,6.2,7.5,43,17.2,16.6,256,30.2,15,83,24.7,11.8,0.626,45.3
0.5,2.9,3.3,46,17.4,16.6,257,44,18,77.7,19.9,11.4,1.388,62.7
0.7,5.7,6.7,44,13.8,13,259,25.4,20,77,23,13.4,0.872,45.4
0.3,6.2,6.8,46,21.9,21.3,270,38,14,78.5,21.2,11.8,0.602,290.8
0.2,4.8,5.3,46,27.8,27,267,52.8,13,77.6,21.2,12.1,0.327,457.9
-1.4,0.6,-0.4,47,27.8,27.2,300,48.3,13,68.1,30.2,24.5,0.199,378.7
-1.3,-1,-2.3,48,25.9,25.4,308,46.8,12,62.5,31.9,31.6,0.048,150.1
-1.2,-1,-2.1,49,22.7,22.2,308,47.9,13,60.9,31.8,33.3,0,39.6
0.6,5.1,5.9,49,19.1,18.5,269,34.5,15,75.5,14.6,9.7,1.249,35.5
0.8,6.3,7.3,49,17.8,17,259,33.4,17,77.7,13,8.5,0.996,40.3
0.6,6.3,7.2,48,17.3,16.8,262,31.7,14,78.5,12.2,8,0.672,51.2
-0.3,5.7,5.6,53,17.2,16.7,258,32.1,14,78.5,12.2,8,0.332,66.3
-0.5,4.2,3.7,56,17.6,17.1,254,31.3,13,77.5,14.1,8.9,0.068,103.8
-0.5,5.3,4.8,53,14.8,14.3,250,29.2,14,76.6,13.9,9.2,0,80.8
0,3.7,3.9,50,13.8,12.8,216,27.1,22,85.3,16.9,7.8,1.509,47.6
0.3,4.1,4.6,47,15.8,14.8,215,32.8,21,87.8,16.5,7.2,1.441,43.9
1.4,5.5,7.1,41,17.3,16.5,218,34.6,18,89.6,16.4,6.7,1.166,66.1
1.4,6.3,8,40,15.9,15.2,225,30.7,17,90.6,16.4,6.5,0.831,134
1.4,6.6,8.3,40,14.8,14,229,30.5,19,90.9,15.4,6.2,0.645,113.4
0.4,6.6,7.2,41,14.9,14.3,237,27.1,17,90.5,13.7,5.8,0.329,100.8
