'NitricOxide','NitrogenDioxide','OxidesofNitrogen','Ozone','WindSpeed','ResultantWindSpeed','ResultantWindDirection','MaximumWindGust','Std.Dev.WindDirection','OutdoorTemperature','DewPointTemperature','RelativeHumidity','SolarRadiation','PM2.5'
0.6,5.4,7,29,14.2,13.7,252,33.1,14,58.7,31.6,35.7,0,38.6
-1.6,-0.9,-1.2,36,28.5,27.5,295,47.9,15,51.3,36.6,57.7,0.408,130.2
0.5,4,5,46,32,31.6,278,53,9,64,25.7,23.3,1.001,57.6
0.2,3.9,4.8,48,30.3,29.8,273,52.4,10,65.4,22.9,19.8,1.187,47.9
0.2,3.8,4.5,50,32.2,31.6,278,51.5,11,66.9,19.2,16.1,1.313,36.5
1.4,4.4,5.8,50,23,22.3,251,41,14,76.5,18.5,11.2,1.041,48.3
1.2,3.5,4.8,48,25.2,24.5,258,45.9,14,78.2,21,11.8,1.227,65.8
1.1,3.7,4.9,46,26,25.3,265,44.4,13,79.6,23,12.2,1.29,99.3
1.5,5,6.6,46,21.7,20.9,258,41.6,15,80.9,23.5,12,1.273,164.1
1.5,3.9,5.4,41,27.6,26.8,266,46.4,14,82.1,24.7,12.1,1.194,79.5
2.8,6,8.8,40,23,22.3,261,40.3,14,82.6,24.9,12,1.023,39.9
2.5,5.7,8.1,41,22.3,21.7,257,42.6,14,82.9,24.6,11.8,0.765,39.8
2.1,5.9,7.9,41,22.6,21.7,259,40.2,16,82.9,25.4,12.2,0.448,44.4
1.8,5.9,7.5,40,23.3,22.6,268,41.7,14,81.7,27.3,13.6,0.18,52.4
0.9,7.2,7.8,46,20.1,19.8,283,34,10,78.7,32,18.2,0.033,65
1,5.9,6.4,43,21.3,21,282,39.1,10,75.9,33.2,21,0,67.3
0.4,3.7,3.9,42,21.8,21.5,285,37.9,10,73.7,34.7,24,0,70.5
-0.1,2.1,2.1,40,16.7,16.3,292,31.2,13,72.4,35.1,25.6,0,42.4
6.2,22,29,23,7.5,7.3,253,14,14,65.9,22.8,19.3,0.181,43.4
5.8,17,23.6,28,8.2,7.9,260,14.7,15,68.4,22.9,17.7,0.491,51.4
2.2,7.8,10.5,38,12,11.6,260,22,16,71.2,26.3,18.4,0.785,56.8
1.4,4.7,6.1,44,14.8,14.3,269,25.7,16,74.3,28.7,18.4,1.037,43.6
1.7,4.7,6.5,42,22.1,21.4,269,36.8,14,83.3,30.4,14.8,1.271,62.5
2,6.2,8.4,41,22.1,21.5,264,39.3,13,84.5,30.6,14.3,1.036,62.7
2.8,7.1,10.1,39,19,18.3,244,36,16,85.7,31.8,14.5,0.826,52.2
3.3,5.4,8.8,31,22.6,21.8,257,41.5,14,83.8,30.4,14.4,0.901,52.6
3.4,5.9,9.4,30,19.7,18.9,252,34.2,16,82.9,31.6,15.7,0.492,75.4
3.5,6.6,10.3,29,17.8,17,247,34,17,82.4,31.5,15.9,0.303,51.6
3.4,3.8,6.7,45,25.9,25.2,260,48,13,75.7,22.1,13.4,0.461,62
2.7,3,5.2,42,24.2,23.6,264,41,12,73.8,21.7,14.1,0.208,45.8
0.8,4.5,5.1,48,17,14,171,47.4,34,75.9,48.2,39.3,0,144.5
1.4,8.3,9.4,43,11.1,9.8,207,22.9,28,69.6,51.4,52.5,0,55.6
1.2,12,13,36,4.7,2.7,166,10.6,54,68.5,54.2,60.4,0,40.3
100.7,43.5,144.7,2,2.5,2.2,269,5.6,25,74.8,30.8,19.8,0,132.4
164.4,41.4,206.6,2,2.5,1.7,147,8.3,47,71.5,34,25.2,0,62
17.7,25.1,44.5,12,1.7,0.3,43,4.7,72,46.4,17.3,31.1,0.362,40.9
211.9,47.8,257.1,3,3,2.9,143,6.1,19,56.9,31.1,37.4,0,43.8
97.6,43.3,139.4,2,4.3,4.2,133,6.3,10,54.5,29.4,38.1,0,38.2
241.5,37.6,277.3,5,2.6,2.4,229,5.5,19,70.5,37.8,30.4,0,55.4
136.6,32.3,167.5,3,3.2,2.8,125,6,26,66.2,39.3,37.1,0,37.4
3.2,1.5,2.5,43,16.3,16.1,271,28.1,11,68.6,22.1,17.1,0,10.6
3.2,0.8,1.9,44,16.1,15.9,270,25.7,9,67.4,21.9,17.6,0,8.6
2.9,0.6,1.4,44,13.1,12.8,273,24.9,13,65.9,22.7,19.2,0,10.5
2.8,0.7,1.4,41,7.3,7,317,15.6,17,62.4,25.1,24,0,11.8
1.7,1.6,1.8,39,5,4.8,344,9.4,20,61.6,25.4,25,0,13.3
-0.5,3.6,3.1,34,6.1,5.3,300,17.6,30,61.1,25.2,25.3,0,11.5
16.8,28.8,45.6,11,5.7,1.6,254,15.5,69,60.5,24.7,25.3,0.133,19.5
11.6,21,32.3,20,6.4,1.3,137,18.9,73,62.8,23.7,22.6,0.462,21.2
3.4,7.9,11,37,11.6,10.5,232,25.6,24,67.1,22.6,18.3,0.772,16.7
1.7,3.4,4.7,41,15.2,14.6,253,26.4,15,68.5,22.2,17.2,1.115,13.9
2,3.4,4.7,40,15.1,14.3,247,29.9,18,69.7,21.1,15.8,1.335,12.8
2.3,3.3,4.8,41,16.4,15.6,249,32.7,18,72,20,13.9,1.45,11.8
2,2.1,3.1,43,18.2,17.2,253,37.9,20,73.6,19.2,12.7,1.431,20.1
2.6,4.3,6.1,42,20.3,19.5,263,39,16,76.6,18.1,11,1.079,30.9
2.2,4.5,6.1,44,21.1,20.3,268,39,15,77.4,17.4,10.4,0.879,23.6
2.6,5.3,6.5,46,21.2,20.8,270,37.4,11,76.2,17.1,10.7,0.24,26.4
3.7,7,8.6,45,18.1,17.4,274,31.1,16,74.8,17.5,11.4,0.025,23
2.9,0.5,1.3,56,13.6,13,317,26,17,71.3,18.6,13.2,0,22
2.7,0,0.6,59,14.3,13.8,308,27.8,15,69.9,18.9,14.1,0,18.6
2.9,1.8,2.6,53,9.7,9.4,298,22.4,15,68.2,19,15.2,0,21.4
3.3,11.8,13,35,9.4,9.2,275,20.9,12,65.8,18.8,16.4,0,15.4
-0.6,3.8,2.9,36,7.1,6.8,281,12.1,14,75.9,23,13.8,0,13.5
-0.3,1.1,0.6,45,11.4,11.1,265,19.3,13,75.9,20.1,12.3,0,9.2
-0.6,1.3,0.4,46,8.5,8.4,273,16.7,11,74.1,19.9,12.9,0,13.1
-0.7,1.2,0.3,45,9.8,9.7,283,21.5,10,72.3,22.6,15.3,0,9.9
-1,2.2,1.1,42,5.4,4.9,299,14.3,25,71.1,27.3,19.3,0,11.1
1.5,13.4,14.9,30,7,6,254,14.8,31,71,27.6,19.8,0.073,14.9
1.2,9,10.3,36,9.9,9.5,273,17.7,16,70.6,27.2,19.6,0.345,14.8
1.7,6.7,8.4,39,15.5,15.1,271,31.9,13,72.5,26.4,18.2,0.677,24.7
0.3,3.4,3.7,45,17.6,17,269,30.1,15,74.2,24,15.3,1,21.2
0.3,3.2,3.5,46,18,17.5,267,30.6,13,76,21.1,12.9,1.261,19.2
0.5,5.6,6,45,16.2,15.6,271,27.5,16,82.2,23.4,11.5,0.325,34.6
0.1,5.3,5.3,44,15.1,14.9,277,27.6,10,80.6,23.4,12.1,0.077,28.2
-0.1,7.6,7.3,43,12.7,12.5,273,26.2,12,78.9,21.7,11.8,0,14.8
-0.2,6.5,6,43,10.5,10.2,264,20.6,12,77.5,22.1,12.6,0,11.2
-0.3,6.5,6,40,11.6,11.4,279,19.4,11,74.7,21.6,13.6,0,11.5
-0.9,2.7,1.6,50,11.9,11.6,299,24.6,12,72.3,25.8,17.5,0,11.2
-1,-1.1,-2.3,53,14.7,14.4,303,24.7,11,71,28.7,20.7,0,12.6
-1.4,-0.1,-1.4,48,6.6,6.3,268,14.8,16,77.5,24.1,13.7,0,9.7
-1.2,0,-1.1,50,7.4,7.1,271,21.3,16,75.7,23.3,14.2,0,8.3
-1.2,-0.6,-1.8,54,9.1,8.8,275,18.5,13,74.4,20.5,13.1,0,9
-1.2,0,-1.1,55,11,10.8,282,19.6,11,72.5,18.7,12.9,0,7.4
-1.1,5.8,4.9,49,11.3,11,278,20.8,13,70.9,20.1,14.5,0,13.7
-0.9,11.6,11,41,11.1,10.8,291,21,12,68.5,24.2,18.6,0.032,15.4
-0.4,10.5,10.3,40,9,8.8,302,17.1,12,67.3,27.5,22.3,0.196,19.4
0,8.6,9,42,11.4,11.1,288,18.9,11,68.6,27.4,21.2,0.423,14.1
0.4,6.7,7.4,48,11.1,10.7,271,21.3,15,71.2,24.6,17.5,0.598,11.6
-0.1,5.9,6,57,13.1,12.5,250,27.2,18,72.9,19,13,0.647,11.7
-0.2,4.7,4.7,61,14.6,14,243,29.5,17,73.7,14.6,10.5,0.678,17.7
-0.4,4.4,4.2,59,13.7,13,241,24.2,18,74.2,15.3,10.6,0.769,12.7
-0.2,4,4,54,15.2,14.3,267,27.5,19,74.9,18.7,11.9,1.026,14.9
0.1,4.3,4.6,47,12.8,12.2,257,29.5,17,75.4,22.4,13.7,0.922,23.1
-1.1,2.1,1,56,11.3,11.1,268,21.4,13,71,12.1,10.2,0,10.3
-0.9,0.6,-0.2,57,11.8,11.6,276,21.8,10,69.1,13,11.3,0,11.2
-1,0.3,-0.7,56,11,10.8,269,19.5,10,67.7,14.2,12.5,0,26.3
-1.3,0,-1.2,56,12.2,12,265,20.2,10,67.3,15,13.2,0,17.4
-0.5,12.2,11.9,38,10.6,10.5,274,17.5,8,64.6,15.6,14.8,0,21.8
6,34.3,40.5,18,7.4,7.3,274,13,11,63.9,16.9,16.1,0.066,27.7
11.3,30.3,41.8,20,4.6,2.5,157,9.9,54,65.1,17.3,15.7,0.343,28.3
6.7,23,29.9,30,2.6,1.9,143,7.8,43,67.4,17,14.5,0.652,24.4
3.5,14.7,18.4,45,9.8,8.9,202,21.3,25,72.4,17.9,12.6,1.003,20.4
0,5.2,5.6,54,11.9,11.4,209,23.9,17,75.7,18.7,11.5,1.271,14.2
-0.1,4.1,4.3,53,14.7,13.9,222,26.7,19,78.8,18.1,10.3,1.457,17.5
-0.1,3.4,3.6,52,14.5,13.4,215,31.8,22,82.2,17.7,9,1.533,24.3
-1.1,1.8,0.7,39,10.6,10.1,289,25.5,17,78.3,21.1,11.9,0,17.4
-0.6,6.7,6.1,34,10.1,9.8,279,21.1,13,76.8,21.5,12.6,0,26.7
-0.9,4.9,3.9,36,7.6,7.2,270,21.6,19,75.3,22.6,13.9,0,21.1
2.7,12.7,15.5,7,3.7,3.4,122,8.9,22,69.4,26.2,19.7,0.043,28.7
4.7,14.1,18.8,13,3.3,2.8,282,6.1,33,72.6,27.4,18.7,0.188,25.3
1.5,7.8,9.4,25,7.5,7.3,283,13.8,12,77.2,30.7,18.3,0.429,17.3
-0.3,2.7,2.4,31,6,5.8,271,11.2,17,79.2,31.5,17.7,0.61,10.2
-0.8,1.8,1.2,35,3.7,2.1,214,8,54,80.6,30.8,16.5,0.79,7.1
-0.5,3.7,3.3,42,7.3,6.8,176,15.5,22,83.8,29.1,13.7,1.141,10.7
-1.1,1.2,0.2,46,14.6,13.1,181,39.6,25,87.4,28.4,11.9,1.503,22.9
-1.5,3.4,1.7,44,10.2,10,292,19.7,10,80.4,19.5,10.3,0,33.8
-1.3,5.1,3.7,42,11.4,11.3,282,20.8,9,79,18,10.2,0,15.2
-1.5,1.6,-0.1,38,13.1,12.8,278,22.2,11,77.8,20,11.5,0,12.4
-1.2,0.1,-1.3,43,12.5,12.4,279,20.9,9,75.5,23,14,0,12.9
-1,-0.6,-1.8,41,13.7,13.6,284,20.6,7,73.6,26.1,16.9,0,14
-1.1,0.7,-0.5,38,11,10.9,279,19,8,72.3,29.2,20.1,0,12.1
-1.3,0.2,-1.2,36,12.3,12.2,283,18.6,7,70.9,30.7,22.5,0,9.7
-1.4,0.3,-1.3,36,13.6,13.5,283,18.8,6,69.8,31.4,24.1,0,8.5
-0.4,6.8,6.3,26,12.4,12.3,278,17.8,7,68.2,31.9,25.9,0,10.7
1.3,13.9,15.3,19,9.4,9.2,273,16.7,12,67.6,32.3,26.8,0.073,16.1
7.4,15.5,23,18,5.2,4.6,221,8.9,26,69.5,32.6,25.6,0.353,23
5.1,13.4,18.6,24,3.8,2.5,233,9.9,47,71.8,32,23.1,0.667,20.1
1.2,6.2,7.5,33,6.4,5.4,202,13.7,33,75.7,29.9,18.5,0.984,19.4
-0.2,2.1,2,35,10.3,9.2,232,22.3,27,79.2,28.1,15.5,1.253,10.1
-0.6,0.6,0,36,12.3,11.2,267,27.5,25,80.9,27.5,14.2,1.42,17.5
-0.9,0.3,-0.4,37,9.8,8.2,247,23.9,33,83.4,26.1,12.4,1.514,9.1
-0.5,1.1,0.7,41,15.5,14.1,248,31.1,24,87.3,20.7,8.8,1.515,33.7
-0.7,16.1,15,19,3.3,3.2,107,6.8,16,65.6,14.8,13.9,0,17
-0.9,10.9,9.7,19,0.7,0.5,115,3.1,34,64.5,16,15.3,0,26.2
-0.6,12.7,11.8,12,0.3,0.1,71,0.3,72,64.1,25,23.9,0,30.8
0.7,17.5,17.8,4,0.3,0,186,0.3,75,62.8,28.3,27.6,0,24.6
7.9,20.8,28.6,2,4.1,3.8,123,10.7,19,61.8,18.3,18.4,0,7.7
-1.1,-0.4,-1.6,52,9.2,8.3,102,20,26,80.4,44.7,28.7,1.234,9.7
-1.3,0.4,-0.9,53,7.8,6.5,129,17.8,34,82.9,41.5,23.5,1.396,10.9
-1.3,1.6,0.4,58,7.3,3.5,171,23.4,58,84.7,34.8,17.1,1.403,6.5
-1.7,0.9,-0.7,63,6.2,2.6,101,17.4,62,85.8,29.9,13.6,1.253,12.4
-1.4,2.8,1.4,54,8.7,7.6,134,19.6,29,85.4,44.1,23.8,0.616,14.1
-1.7,1.3,-0.3,54,8.2,7.7,121,17.3,21,84.6,45.5,25.5,0.347,18.1
-1.4,0.8,-0.9,50,11.7,11.4,122,20.2,13,82,48,30.5,0.101,21.5
-1.5,1.1,-0.6,47,11.1,10.9,113,22.1,12,78.3,51,38.5,0.001,19
-1.6,0.9,-0.9,43,8.9,8.7,111,16.5,14,75.2,52.3,44.8,0,14.6
-1.5,0.6,-1.2,39,5.2,4.8,115,11.1,20,72.9,53,49.6,0,13.5
-1.6,3.4,1.6,33,5.7,5.5,134,9.4,17,71.3,53.9,54.2,0,13.1
-1.4,1.6,0,33,4.4,4.3,125,9.4,13,69.5,54.6,59.2,0,9.5
-0.9,-0.5,-1.5,36,8.9,8.7,123,16.9,13,71.8,54.1,53.6,0,8.3
-1,0.4,-0.8,35,6.4,6.2,119,12.4,12,70.6,54.4,56.4,0,4.8
-1.4,0.4,-1.2,32,5.3,5.1,114,9.8,14,69.6,54.5,58.8,0,5.4
-1.2,1.7,0.3,31,4.6,4.5,111,9.5,14,68.8,54.4,60.2,0,3.9
-0.4,3.1,2.9,39,6.8,6.2,146,16.9,25,79.1,54,41.9,1.185,10.9
-0.9,3.2,2.4,45,5.9,4.1,169,14.3,44,82.2,53.1,37,1.352,12
-1.2,2.1,1,49,6.1,3.8,163,14.8,50,85.1,52.6,32.7,1.444,9.9
-1.1,1.8,0.8,52,6.4,3.9,147,18.4,51,87.8,51.7,29.1,1.418,7.4
-1.5,1.7,0.4,53,6.4,4.4,149,18,45,90.7,50.5,25.4,1.397,8
-1.2,2,1,54,4.9,1.2,198,24.1,71,91.5,49.1,23.7,0.758,7.3
-0.8,5.9,5.3,39,15,14.5,135,30.2,14,76.1,51.9,43.2,0.219,3.6
-1.2,6.3,5.3,39,12.9,12.5,147,24.4,13,74.4,52.5,46.4,0.065,18
-1.1,9.5,8.4,32,6.5,6.2,144,15.7,16,73.2,54.6,52,0.001,14.7
-1.2,5.4,4.1,35,8.9,8.4,138,18.9,21,72.1,54,53,0,4.6
-1.3,1.6,0.2,38,7.3,7.1,123,17.3,15,70.9,53.1,53.4,0,3.4
-1.3,1.8,0.4,39,6,5.7,112,16.9,19,70.6,53,53.7,0,5.7
-1.1,1,-0.2,38,7.6,7.1,80,18.3,22,71,53.4,53.8,0,5.5
-0.4,8.1,8,25,4,3.9,44,8.1,16,74,58,57.3,0.002,7.8
0.5,11.2,12.1,21,1.9,1.7,69,5.1,26,75,57.7,55,0.14,6.7
0.1,4.5,4.9,31,2.7,1.4,65,5.5,57,77.2,56.8,49.3,0.437,4.9
-0.3,1.7,1.7,35,4.1,3.4,175,8.6,34,79.5,55.9,44.4,0.761,5.4
-0.3,3,3.1,44,5.2,3.2,263,11.4,50,81.8,54.3,39.2,1.04,6.6
-0.8,0.8,0.4,48,7.4,6.4,257,17.9,30,85.3,52.3,32.6,1.255,3.8
-0.5,0.5,0.3,51,6.7,5.7,251,14.8,31,87.4,52.2,29.9,1.338,3.7
-0.8,0.1,-0.4,53,7,5.7,282,17.7,36,88.7,51.9,28.6,1.33,3
-0.6,-0.1,-0.4,51,7.5,6.8,297,17.7,26,89.9,51.4,27.3,1.247,2.4
-0.8,-0.7,-1.1,51,5.7,4.3,275,13.9,41,91.7,50,24.1,1.07,1.2
-1,-1,-1.5,50,7,5.6,288,22.4,37,92.5,48.9,22.8,0.847,1.8
-0.8,-0.7,-1.1,49,7.2,6.7,280,15.1,22,93,48.8,22.1,0.501,3.3
-0.4,1.5,1.4,44,6.5,6.1,272,11.3,21,92.6,49.1,22.8,0.11,5
-0.4,0.4,0,43,7.3,4.5,277,19,50,80.3,58,46.5,0.004,11.6
-0.4,2.6,2.3,37,4.5,3.8,173,10.1,31,73.8,64.2,71.7,0.007,11.4
-0.4,5.4,5.1,23,3.1,0.7,56,8.6,72,75,65.7,73.3,0.001,7.3
-0.3,5.6,5.5,19,2.3,2.1,312,4.8,25,75.8,65.5,70.6,0.001,5.8
-0.7,0.3,-0.4,43,13.7,13.4,258,26.5,11,67,24.2,19.7,0,6.2
-0.5,-0.4,-0.8,43,12.6,12.2,259,21.6,14,65.4,23.4,20.1,0,4.7
-0.6,3.3,2.8,34,6.4,6.2,284,11.8,14,60.7,25.4,25.9,0,6.1
-0.6,4.1,3.6,31,7.7,7.7,293,12.6,8,57.7,25.8,29.3,0,4.7
0.8,12,12.9,23,8.5,8.2,278,13.7,16,56.1,24.4,29.2,0,5.7
8.1,26,34.3,9,7.1,6.9,275,13.2,16,55,22.7,28.2,0,9.3
21.4,32.4,54.2,3,6.3,6.2,279,11.1,12,55.2,19.9,25.1,0.034,10.9
30.8,31,62.2,5,6.4,6.3,279,12.1,10,55.2,18.2,23.1,0.104,14.6
18.4,24.1,42.9,14,8.8,8.7,276,15.4,10,56.2,16.5,21.1,0.359,14
4.2,8.1,12.7,33,11.9,10.8,308,20.9,24,59.3,16,18.3,0.676,9.1
0.6,1.5,2.3,31,12.8,12,8,22.4,21,57,18.3,21.7,0.684,12.4
-0.5,0.9,0.7,33,12.8,12.1,4,20.2,19,56.4,15.8,20.1,0.57,21.5
-0.4,0.2,0,37,14.7,13.7,8,24.2,21,56.2,12.5,17.6,1.095,34
-0.7,1.8,1.4,46,16.4,15,15,26.2,23,52.4,-3.2,9.9,0.173,25.2
-0.7,2.5,1.9,45,14.3,13.3,8,21.6,22,51.1,-3.4,10.1,0.005,9.7
-0.6,3.7,3.1,43,12.4,11.7,8,20.1,19,49.8,-6.2,9.4,0,5.6
-0.8,3.8,3.1,41,11.4,10.9,6,18,17,48.4,-6,9.9,0,5.6
-0.6,5.4,4.9,37,9.3,8.8,9,16.8,19,47.3,-4.1,11.3,0,4.6
-0.7,4.9,4.2,36,10.5,9.4,22,18.9,27,45.7,-7.6,10.2,0,5.5
-0.7,4.4,3.8,35,9.1,8.2,24,15.1,25,43.7,-6.7,11.6,0,6.7
-0.4,10.1,9.7,24,4.3,3.8,81,9.7,28,40.4,-5.7,13.7,0,4.6
137.3,18.6,155.9,0,0.5,0.4,235,4,33,57.7,38.5,48.8,0,28.3
117.7,17.5,135.2,0,0.5,0.5,89,3.2,16,56,37.9,50.6,0,23.3
112.5,18.9,131.3,0,0.7,0.7,131,4.1,13,55.3,37.3,50.5,0,22.1
91.8,15.3,107.3,0,0.5,0.3,309,4.9,59,54,39.9,59,0,19
88.3,16.8,105.2,0,0.5,0.5,293,4.7,26,54.1,37.2,53.1,0,16.2
90.9,15,106.1,0,0.3,0.2,256,0.3,48,53.7,36.4,51.9,0,14.9
96.1,13.7,110.1,0,0.6,0.5,343,4.7,41,52.1,38,58.4,0.02,17.6
51.7,16.9,68.9,2,0.3,0.2,47,0.3,51,54.6,33.5,45.4,0.177,13.6
16.1,13.5,30,10,2.5,2.4,358,5.9,19,59,29.7,33,0.53,7.3
15,14.6,30,13,2.5,2.4,335,6.9,17,63.4,31,29.5,0.771,10.8
7.1,11.6,19,21,3,2.6,325,5.7,27,68.6,31.3,25,0.952,5.9
6.6,12.8,19.7,25,2.6,1.9,305,5.5,43,72.2,33.6,24.1,1.019,5.2
4,10.2,14.4,30,4,3.1,141,9.6,37,75.7,36.1,23.6,0.999,5.1
3,8.6,11.8,35,4.6,3.4,133,9.1,41,77.6,38.9,24.8,0.884,6.3
1.5,5.3,7.1,34,5.2,4.5,159,13,30,79.1,39.5,24.4,0.678,3.9
1.8,5.3,7.4,31,4.2,3.6,175,10.7,29,79.2,40.8,25.3,0.367,3.2
-0.1,2.5,2.5,32,0.9,0.8,101,6.3,28,78.6,41.8,27,0.105,4
-0.3,4.3,4.2,26,0.3,0.3,68,0.9,17,77,42.6,29.4,0.002,6.9
0.6,12.8,13.5,12,0.5,0.4,32,2.5,21,74,43.3,33.3,0,7
4.8,17.2,22,13,2.9,2.8,75,9.7,18,72.3,39.1,30.3,0,6
8.6,17.7,26.3,14,1.3,1,145,8,42,70.5,35.8,28,0,6
1.4,14.4,15.8,20,3.2,1.4,86,8.6,61,68.2,34.6,28.9,0,7.1
0.1,14.7,14.8,18,2.5,2.1,18,4.7,32,67.3,36.5,32.2,0,7
-0.1,16.9,16.8,14,3.3,3.1,68,6,19,65.6,38.1,36.4,0,4.9
1.9,10.1,12.1,11,4.2,4.1,141,7.2,14,39.4,22.1,49.4,0,5.4
2.1,10.8,12.9,8,3.6,3.5,122,6.1,12,38.3,23.2,54.1,0,4.2
0.9,7.1,8.1,10,2.4,2.4,104,5.6,14,37.5,23.8,57.5,0,1.8
5.4,15.1,20.5,1,2.6,2.6,115,5.2,10,36.6,24,59.9,0,3.1
3,13.5,16.5,2,3.7,3.6,118,5.7,12,36.1,24.4,62,0,3.4
15.7,15.2,31,0,2.5,2.4,119,4.8,14,35.4,24.4,63.9,0,4.1
39.2,14.8,54.2,0,4,3.9,123,7.2,10,35.2,24.6,65.1,0.007,7.2
77.9,15.3,93.7,1,3.5,3.2,129,6.7,20,36.4,25,63,0.104,14
57,14.9,72.3,6,4.7,3.4,244,11.3,43,41.1,25.8,54,0.502,16.5
11.4,7,18.8,13,9.1,8.9,276,14.3,13,44.3,27.5,52,0.781,6.4
7.4,5.8,13.7,18,10.2,9.8,283,16.8,16,46.7,27.5,47.1,0.95,4.8
5.2,5,10.6,22,10.3,10,282,18.1,14,50.2,28.1,42.2,1.036,5.2
4.5,5.3,10.1,26,13.9,13.6,282,20.8,11,53.3,28.6,38.4,1.017,5
3.6,5.4,9.4,29,13.3,13,285,20.5,10,55.6,28.6,35.4,0.905,4.8
3.7,5.7,9.8,29,11.6,11.3,273,18.7,12,58,28.6,32.2,0.698,4.2
6.2,10.4,17,24,11.3,11.1,277,18.1,12,59.8,28.2,30,0.429,5
8.5,14.9,23.6,16,9,8.8,268,17.2,12,60.6,28,28.9,0.143,4.8
21.8,24.2,46.2,4,6.6,6.4,253,14.1,14,59.2,29.4,32.1,0.001,8.3
11.9,21.4,33.4,7,8,7.7,268,14.6,15,57.9,30.6,35.3,0,7.9
6.5,17.9,24.3,11,7.1,6.9,258,14.6,13,57,31.5,37.8,0,5.4
2.9,14.6,17.6,14,9.3,8.9,269,16.5,17,56.5,31.8,38.9,0,5.4
15.1,22.8,37.9,0,3.7,0.5,297,8.4,75,50.6,31.9,48.8,0,10
17.5,17.6,35.1,0,3.7,3.6,99,6.5,15,47,33.6,59.5,0,10.7
5.1,13.6,18.7,0,3.8,3.6,100,8.6,20,45.2,34.2,65,0,5
124,13,137.4,0,2.5,2.2,145,4.6,29,47,31.9,55.9,0,24.6
62.1,13.6,75.8,0,3.3,3.1,121,5.8,18,44,30.5,58.9,0,22.1
26.1,12.3,38.3,0,3.8,3.4,129,7.5,27,42.1,29.6,60.9,0,7.6
11.6,11.1,22.6,0,2.5,2.1,114,5.7,31,41.5,29.3,61.8,0,6.3
15.5,11.8,27.1,0,0.3,0.2,70,0.3,57,41.1,29.4,62.9,0,4.8
35.2,11.4,46.6,0,0.9,0.6,78,3.8,43,40.1,29.3,65.1,0,7.1
36,11.7,47.8,0,0.3,0.2,5,0.3,37,40.7,30,65.4,0.011,9.9
37.4,9.6,47.4,2,2.4,2.3,313,6.1,20,42.5,29,59.3,0.177,9.9
33.2,10.8,44.2,5,1.2,0.4,339,4.6,67,46.9,28.6,49,0.455,11
31.1,16.3,47.7,10,2.1,1.8,315,6,34,51.7,28.6,40.9,0.709,11.7
12.8,12.4,25.4,20,4.2,3.4,295,12.6,34,58,27.3,30.8,0.895,9.1
5.6,4.8,10.5,32,11.2,10.9,275,18.3,13,63.9,25.5,23.3,1.003,5
4.4,4.5,9,36,7.3,7.1,281,12.3,13,65.9,24.2,20.6,0.972,4.5
97.5,39,135.8,0,0.4,0,249,6.3,78,56.6,29.8,35.8,0,31.9
1.1,8,9.1,30,4.4,4.2,313,11,13,40.3,15,35.3,0,2
21.8,20.9,42.8,3,0.4,0.4,282,6.2,19,36.5,27.9,70.6,0.003,11
20.3,20.6,41.2,4,0.3,0.3,259,0.3,30,36.9,26.9,67.2,0.138,8.2
5.1,9.3,14.7,26,4.2,3.9,352,10.7,22,40.9,17.1,39.9,0.434,2.6
0.1,3.3,3.7,35,4.6,3.9,329,10.4,33,42.7,14.2,31,0.689,2.3
5,10.1,15.4,26,4.6,4.3,287,8.4,21,44.9,19.1,35.2,0.867,4.2
4.3,10.4,15.2,29,3.4,2.8,289,7,36,47.3,20.4,34.1,0.939,5.5
0.8,5.9,7.1,37,2.7,1.7,333,7.8,50,49.5,19.9,30.9,0.918,2.1
1.9,7.9,10.1,33,1.3,0.4,344,5.4,67,51.4,21.5,30.8,0.809,2.8
1.8,9,11.2,33,0.4,0.2,311,5.7,52,52.8,21.6,29.4,0.611,3.2
1,9.4,10.7,34,0.8,0.5,82,7.4,52,54.1,20,26.2,0.367,2.7
9.5,28.1,35.1,7,2.7,2.6,77,5.5,14,36.7,11.9,35.5,0,3.4
9.3,28.8,35.5,5,2.9,2.7,80,4.5,17,35.2,12.7,39.1,0,3.7
9.8,28.1,35.3,5,2.6,2.5,50,4.3,15,34.2,13.7,42.3,0,2.4
10.1,24.6,32.2,8,3.7,3.6,38,8,13,33.4,13.6,43.6,0,3.3
10.5,26.4,34.4,5,3.8,3.7,38,8.5,13,32.2,14.6,47.8,0,7.7
10.8,26.7,35.9,3,3.1,3,48,8,19,31.4,14.9,50.2,0,4.5
2.6,21.7,25.5,6,4.2,4.1,36,8.6,12,31.8,14.5,48.2,0,8.3
7.2,19.4,28.6,7,4.3,4.2,33,9,17,30.8,14.9,51.3,0.083,7.8
6.4,13.3,19.8,17,6.2,6.1,38,10.7,11,32.9,13.7,44.9,0.332,7.3
11.6,15.3,24.9,22,5.9,5.7,39,9.9,15,38.2,13.7,36.5,0.62,8.2
6.2,9.1,13.7,29,5,4.4,49,10.3,29,42.3,14.2,31.7,0.726,2.9
7.3,11.2,16.7,27,3.4,2.4,118,7.4,44,45.2,16.8,31.6,0.638,3.4
2.2,7.9,10.8,27,3.5,2.8,122,8.7,38,46.9,18.5,32,0.706,3.1
0.5,8.1,10.2,24,3.7,3.1,146,8.5,33,48.2,20.5,33,0.369,3.7
